Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Overall_Satisfaction,Satisfaction_Level,Feedback_Comment,Sentiment_Score,Sentiment_Label,TB_Polarity,TB_Subjectivity,TB_Sentiment_Label
340,5,2,7,6,9,2,1,8,5.0,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
253,6,5,8,6,2,1,2,9,4.875,Low,"Didn't enjoy the course, it was hard to follow.",-0.4639,Negative,0.05416666666666667,0.5208333333333333,Positive
680,7,7,6,5,4,2,3,1,4.375,Low,"Didn't enjoy the course, it was hard to follow.",-0.4639,Negative,0.05416666666666667,0.5208333333333333,Positive
806,9,6,7,1,5,9,4,6,5.875,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
632,8,10,8,4,6,6,9,9,7.5,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
832,7,2,7,8,3,5,1,4,4.625,Low,Assignments were confusing and not properly structured.,-0.2263,Negative,-0.15,0.25,Negative
772,9,3,5,2,10,3,8,1,5.125,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
961,9,8,7,4,4,3,3,10,6.0,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
814,6,5,8,6,4,4,7,9,6.125,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
863,5,9,4,7,9,4,4,5,5.875,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
576,10,3,8,6,6,3,6,9,6.375,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
